,apps,link,name,ranking
10,"['product', 'shopify'], ['product', 'shopify'], ['optimizely', 'product', 'kit', 'shopify'], ['product', 'shopify'], ['product', 'shopify'], ['product', 'shopify'], ['product', 'shopify'], [], ['yotpo', 'product', 'shopify'], ['product', 'shopify'], ['product', 'shopify'], ['product', 'kit', 'shopify'], ['shopify'], ['product', 'shopify'], ['optimizely', 'yotpo', 'product', 'kit', 'shopify'], ['yotpo', 'judge', 'product', 'kit', 'shopify'], ['product', 'kit', 'shopify'], ['powr', 'product', 'shopify'], ['optimizely', 'product', 'shopify'], ['product', 'shopify'], ['loox', 'shopify'], ['yotpo', 'product', 'kit', 'shopify'], ['powr', 'product', 'shopify'], ['product', 'shopify'], ['product', 'kit', 'shopify'], None, [], ['shopify'], ['product', 'kit', 'shopify'], ['product', 'shopify'], ['powr', 'product', 'shopify'], None, None, ['powr', 'yotpo', 'product', 'shopify'], ['yotpo', 'product', 'shopify'], ['product', 'kit', 'shopify'], ['yotpo', 'product', 'globo', 'kit', 'shopify'], ['product', 'shopify'], ['product', 'shopify']",https://gfuel.com,gfuel,"32,225"
11,"['product', 'shopify'], ['product', 'shopify'], ['optimizely', 'product', 'kit', 'shopify'], ['product', 'shopify'], ['product', 'shopify'], ['product', 'shopify'], ['product', 'shopify'], [], ['yotpo', 'product', 'shopify'], ['product', 'shopify'], ['product', 'shopify'], ['product', 'kit', 'shopify'], ['shopify'], ['product', 'shopify'], ['optimizely', 'yotpo', 'product', 'kit', 'shopify'], ['yotpo', 'judge', 'product', 'kit', 'shopify'], ['product', 'kit', 'shopify'], ['powr', 'product', 'shopify'], ['optimizely', 'product', 'shopify'], ['product', 'shopify'], ['loox', 'shopify'], ['yotpo', 'product', 'kit', 'shopify'], ['powr', 'product', 'shopify'], ['product', 'shopify'], ['product', 'kit', 'shopify'], None, [], ['shopify'], ['product', 'kit', 'shopify'], ['product', 'shopify'], ['powr', 'product', 'shopify'], None, None, ['powr', 'yotpo', 'product', 'shopify'], ['yotpo', 'product', 'shopify'], ['product', 'kit', 'shopify'], ['yotpo', 'product', 'globo', 'kit', 'shopify'], ['product', 'shopify'], ['product', 'shopify']",https://kith.com,kith,"33,145"
12,"['product', 'shopify'], ['product', 'shopify'], ['optimizely', 'product', 'kit', 'shopify'], ['product', 'shopify'], ['product', 'shopify'], ['product', 'shopify'], ['product', 'shopify'], [], ['yotpo', 'product', 'shopify'], ['product', 'shopify'], ['product', 'shopify'], ['product', 'kit', 'shopify'], ['shopify'], ['product', 'shopify'], ['optimizely', 'yotpo', 'product', 'kit', 'shopify'], ['yotpo', 'judge', 'product', 'kit', 'shopify'], ['product', 'kit', 'shopify'], ['powr', 'product', 'shopify'], ['optimizely', 'product', 'shopify'], ['product', 'shopify'], ['loox', 'shopify'], ['yotpo', 'product', 'kit', 'shopify'], ['powr', 'product', 'shopify'], ['product', 'shopify'], ['product', 'kit', 'shopify'], None, [], ['shopify'], ['product', 'kit', 'shopify'], ['product', 'shopify'], ['powr', 'product', 'shopify'], None, None, ['powr', 'yotpo', 'product', 'shopify'], ['yotpo', 'product', 'shopify'], ['product', 'kit', 'shopify'], ['yotpo', 'product', 'globo', 'kit', 'shopify'], ['product', 'shopify'], ['product', 'shopify']",https://triangl.com,triangl,"38,097"
13,"['product', 'shopify'], ['product', 'shopify'], ['optimizely', 'product', 'kit', 'shopify'], ['product', 'shopify'], ['product', 'shopify'], ['product', 'shopify'], ['product', 'shopify'], [], ['yotpo', 'product', 'shopify'], ['product', 'shopify'], ['product', 'shopify'], ['product', 'kit', 'shopify'], ['shopify'], ['product', 'shopify'], ['optimizely', 'yotpo', 'product', 'kit', 'shopify'], ['yotpo', 'judge', 'product', 'kit', 'shopify'], ['product', 'kit', 'shopify'], ['powr', 'product', 'shopify'], ['optimizely', 'product', 'shopify'], ['product', 'shopify'], ['loox', 'shopify'], ['yotpo', 'product', 'kit', 'shopify'], ['powr', 'product', 'shopify'], ['product', 'shopify'], ['product', 'kit', 'shopify'], None, [], ['shopify'], ['product', 'kit', 'shopify'], ['product', 'shopify'], ['powr', 'product', 'shopify'], None, None, ['powr', 'yotpo', 'product', 'shopify'], ['yotpo', 'product', 'shopify'], ['product', 'kit', 'shopify'], ['yotpo', 'product', 'globo', 'kit', 'shopify'], ['product', 'shopify'], ['product', 'shopify']",https://ine.com,ine,"39,307"
14,"['product', 'shopify'], ['product', 'shopify'], ['optimizely', 'product', 'kit', 'shopify'], ['product', 'shopify'], ['product', 'shopify'], ['product', 'shopify'], ['product', 'shopify'], [], ['yotpo', 'product', 'shopify'], ['product', 'shopify'], ['product', 'shopify'], ['product', 'kit', 'shopify'], ['shopify'], ['product', 'shopify'], ['optimizely', 'yotpo', 'product', 'kit', 'shopify'], ['yotpo', 'judge', 'product', 'kit', 'shopify'], ['product', 'kit', 'shopify'], ['powr', 'product', 'shopify'], ['optimizely', 'product', 'shopify'], ['product', 'shopify'], ['loox', 'shopify'], ['yotpo', 'product', 'kit', 'shopify'], ['powr', 'product', 'shopify'], ['product', 'shopify'], ['product', 'kit', 'shopify'], None, [], ['shopify'], ['product', 'kit', 'shopify'], ['product', 'shopify'], ['powr', 'product', 'shopify'], None, None, ['powr', 'yotpo', 'product', 'shopify'], ['yotpo', 'product', 'shopify'], ['product', 'kit', 'shopify'], ['yotpo', 'product', 'globo', 'kit', 'shopify'], ['product', 'shopify'], ['product', 'shopify']",https://mnml.la,mnml,"39,749"
15,"['product', 'shopify'], ['product', 'shopify'], ['optimizely', 'product', 'kit', 'shopify'], ['product', 'shopify'], ['product', 'shopify'], ['product', 'shopify'], ['product', 'shopify'], [], ['yotpo', 'product', 'shopify'], ['product', 'shopify'], ['product', 'shopify'], ['product', 'kit', 'shopify'], ['shopify'], ['product', 'shopify'], ['optimizely', 'yotpo', 'product', 'kit', 'shopify'], ['yotpo', 'judge', 'product', 'kit', 'shopify'], ['product', 'kit', 'shopify'], ['powr', 'product', 'shopify'], ['optimizely', 'product', 'shopify'], ['product', 'shopify'], ['loox', 'shopify'], ['yotpo', 'product', 'kit', 'shopify'], ['powr', 'product', 'shopify'], ['product', 'shopify'], ['product', 'kit', 'shopify'], None, [], ['shopify'], ['product', 'kit', 'shopify'], ['product', 'shopify'], ['powr', 'product', 'shopify'], None, None, ['powr', 'yotpo', 'product', 'shopify'], ['yotpo', 'product', 'shopify'], ['product', 'kit', 'shopify'], ['yotpo', 'product', 'globo', 'kit', 'shopify'], ['product', 'shopify'], ['product', 'shopify']",https://kingice.com,kingice,"42,620"
16,"['product', 'shopify'], ['product', 'shopify'], ['optimizely', 'product', 'kit', 'shopify'], ['product', 'shopify'], ['product', 'shopify'], ['product', 'shopify'], ['product', 'shopify'], [], ['yotpo', 'product', 'shopify'], ['product', 'shopify'], ['product', 'shopify'], ['product', 'kit', 'shopify'], ['shopify'], ['product', 'shopify'], ['optimizely', 'yotpo', 'product', 'kit', 'shopify'], ['yotpo', 'judge', 'product', 'kit', 'shopify'], ['product', 'kit', 'shopify'], ['powr', 'product', 'shopify'], ['optimizely', 'product', 'shopify'], ['product', 'shopify'], ['loox', 'shopify'], ['yotpo', 'product', 'kit', 'shopify'], ['powr', 'product', 'shopify'], ['product', 'shopify'], ['product', 'kit', 'shopify'], None, [], ['shopify'], ['product', 'kit', 'shopify'], ['product', 'shopify'], ['powr', 'product', 'shopify'], None, None, ['powr', 'yotpo', 'product', 'shopify'], ['yotpo', 'product', 'shopify'], ['product', 'kit', 'shopify'], ['yotpo', 'product', 'globo', 'kit', 'shopify'], ['product', 'shopify'], ['product', 'shopify']",https://stampd.com,stampd,"42,689"
17,"['product', 'shopify'], ['product', 'shopify'], ['optimizely', 'product', 'kit', 'shopify'], ['product', 'shopify'], ['product', 'shopify'], ['product', 'shopify'], ['product', 'shopify'], [], ['yotpo', 'product', 'shopify'], ['product', 'shopify'], ['product', 'shopify'], ['product', 'kit', 'shopify'], ['shopify'], ['product', 'shopify'], ['optimizely', 'yotpo', 'product', 'kit', 'shopify'], ['yotpo', 'judge', 'product', 'kit', 'shopify'], ['product', 'kit', 'shopify'], ['powr', 'product', 'shopify'], ['optimizely', 'product', 'shopify'], ['product', 'shopify'], ['loox', 'shopify'], ['yotpo', 'product', 'kit', 'shopify'], ['powr', 'product', 'shopify'], ['product', 'shopify'], ['product', 'kit', 'shopify'], None, [], ['shopify'], ['product', 'kit', 'shopify'], ['product', 'shopify'], ['powr', 'product', 'shopify'], None, None, ['powr', 'yotpo', 'product', 'shopify'], ['yotpo', 'product', 'shopify'], ['product', 'kit', 'shopify'], ['yotpo', 'product', 'globo', 'kit', 'shopify'], ['product', 'shopify'], ['product', 'shopify']",https://ripndipclothing.com,ripndipclothing,"42,998"
18,"['product', 'shopify'], ['product', 'shopify'], ['optimizely', 'product', 'kit', 'shopify'], ['product', 'shopify'], ['product', 'shopify'], ['product', 'shopify'], ['product', 'shopify'], [], ['yotpo', 'product', 'shopify'], ['product', 'shopify'], ['product', 'shopify'], ['product', 'kit', 'shopify'], ['shopify'], ['product', 'shopify'], ['optimizely', 'yotpo', 'product', 'kit', 'shopify'], ['yotpo', 'judge', 'product', 'kit', 'shopify'], ['product', 'kit', 'shopify'], ['powr', 'product', 'shopify'], ['optimizely', 'product', 'shopify'], ['product', 'shopify'], ['loox', 'shopify'], ['yotpo', 'product', 'kit', 'shopify'], ['powr', 'product', 'shopify'], ['product', 'shopify'], ['product', 'kit', 'shopify'], None, [], ['shopify'], ['product', 'kit', 'shopify'], ['product', 'shopify'], ['powr', 'product', 'shopify'], None, None, ['powr', 'yotpo', 'product', 'shopify'], ['yotpo', 'product', 'shopify'], ['product', 'kit', 'shopify'], ['yotpo', 'product', 'globo', 'kit', 'shopify'], ['product', 'shopify'], ['product', 'shopify']",https://misthub.com,misthub,"47,202"
19,"['product', 'shopify'], ['product', 'shopify'], ['optimizely', 'product', 'kit', 'shopify'], ['product', 'shopify'], ['product', 'shopify'], ['product', 'shopify'], ['product', 'shopify'], [], ['yotpo', 'product', 'shopify'], ['product', 'shopify'], ['product', 'shopify'], ['product', 'kit', 'shopify'], ['shopify'], ['product', 'shopify'], ['optimizely', 'yotpo', 'product', 'kit', 'shopify'], ['yotpo', 'judge', 'product', 'kit', 'shopify'], ['product', 'kit', 'shopify'], ['powr', 'product', 'shopify'], ['optimizely', 'product', 'shopify'], ['product', 'shopify'], ['loox', 'shopify'], ['yotpo', 'product', 'kit', 'shopify'], ['powr', 'product', 'shopify'], ['product', 'shopify'], ['product', 'kit', 'shopify'], None, [], ['shopify'], ['product', 'kit', 'shopify'], ['product', 'shopify'], ['powr', 'product', 'shopify'], None, None, ['powr', 'yotpo', 'product', 'shopify'], ['yotpo', 'product', 'shopify'], ['product', 'kit', 'shopify'], ['yotpo', 'product', 'globo', 'kit', 'shopify'], ['product', 'shopify'], ['product', 'shopify']",https://tayroc.com,tayroc,"47,632"
